# airbench94.py Training Results
# CIFAR-10 Image Classification Benchmark
# Log file: logs/8953448b-a7fa-4ae7-a6bc-f0edf65f5f81/log.pt

------------------------------------------------------------------------------------------------------
|   Epoch  |   Step  |      Loss  |  Train Acc |  Batch Acc |    Eval Acc |   Time (s)          |
|          |      5  |      1.0723  |     0.9111  |   0.8752  |             |              2.7203  |
|          |      6  |      1.0371  |     0.9150  |   0.8915  |             |              3.1559  |
|          |      7  |      1.0215  |     0.9404  |   0.8920  |             |              3.5921  |
|          |      8  |      0.9751  |     0.9590  |   0.9201  |             |              4.0277  |
|          |      9  |      0.9375  |     0.9805  |   0.9312  |             |              4.4289  |
|          |   eval  |      0.9375  |     0.9805  |   0.9312  |     0.9407  |              4.6065  |
------------------------------------------------------------------------------------------------------
|      17  |      0  |      1.4248  |     0.6914  |   0.6969  |             |              0.4756  |
|          |      1  |      1.2646  |     0.8086  |   0.6003  |             |              0.9442  |
|          |      2  |      1.1807  |     0.8486  |   0.8420  |             |              1.4122  |
|          |      3  |      1.1602  |     0.8633  |   0.7899  |             |              1.8489  |
|          |      4  |      1.1514  |     0.8564  |   0.8320  |             |              2.2846  |
|          |      5  |      1.0801  |     0.8984  |   0.8729  |             |              2.7215  |
|          |      6  |      1.0234  |     0.9355  |   0.9013  |             |              3.1584  |
|          |      7  |      1.0186  |     0.9385  |   0.9000  |             |              3.5957  |
|          |      8  |      0.9678  |     0.9688  |   0.9237  |             |              4.0319  |
|          |      9  |      0.9463  |     0.9766  |   0.9326  |             |              4.4325  |
|          |   eval  |      0.9463  |     0.9766  |   0.9326  |     0.9414  |              4.6097  |
------------------------------------------------------------------------------------------------------
|      18  |      0  |      1.4316  |     0.7021  |   0.6909  |             |              0.4750  |
|          |      1  |      1.2793  |     0.8096  |   0.7767  |             |              0.9440  |
|          |      2  |      1.1953  |     0.8428  |   0.7705  |             |              1.4125  |
|          |      3  |      1.1504  |     0.8564  |   0.7987  |             |              1.8491  |
|          |      4  |      1.1455  |     0.8711  |   0.8268  |             |              2.2857  |
|          |      5  |      1.0938  |     0.8926  |   0.8652  |             |              2.7222  |
|          |      6  |      1.0576  |     0.9092  |   0.8302  |             |              3.1582  |
|          |      7  |      1.0273  |     0.9326  |   0.8944  |             |              3.5945  |
|          |      8  |      0.9619  |     0.9688  |   0.9256  |             |              4.0309  |
|          |      9  |      0.9390  |     0.9814  |   0.9306  |             |              4.4321  |
|          |   eval  |      0.9390  |     0.9814  |   0.9306  |     0.9391  |              4.6095  |
------------------------------------------------------------------------------------------------------
|      19  |      0  |      1.4307  |     0.7178  |   0.7006  |             |              0.4755  |
